n_region,n_region_to,transfer
57,7,0.0216969860333245
58,7,0.0150469613434608
59,7,0.0385729761729424
60,7,0.00937079169868468
61,7,0.00998781806423275
62,7,0.0526302758936501
63,7,0.0218014742496712
64,7,0.0112274507170101
65,7,0.0762673682281999
66,7,0.091698750071949
67,7,0.059496870517432
68,7,0.0412926916192571
69,7,0.182774585956901
70,7,0.0212650433656334
71,7,0.0168409867924099
73,7,0.000783446832600836
74,7,0.000790749117943359
75,7,0.000675073906218515
80,7,0.000529359203455553
87,7,0.000825420142754046
88,7,0.00236831994594134
89,7,0.0015371478333514
90,7,0.00148498606520735
91,7,0.00115152195508381
7,8,0.00603789976106538
9,8,0.0106506959809288
46,8,0.00110217484086151
47,8,0.00087799159090745
126,8,0.00085272277095647
135,8,0.090575314361775
140,8,0.00125323265259067
57,8,0.0408682014040531
58,8,0.0211923787238347
59,8,0.00706148752006319
60,8,0.00497683195480383
61,8,0.00738368108087159
62,8,0.00740852586430009
63,8,0.00287306249801868
64,8,0.00279904412025739
65,8,0.00596446098060599
66,8,0.00754938766841318
67,8,0.00146762053351535
68,8,0.00113538935540147
69,8,0.00252981991292278
70,8,0.00202095145787194
71,8,0.000821244479473825
74,8,0.00127324010516303
75,8,0.000892061947503037
87,8,0.00108090732979697
88,8,0.00238511654130262
89,8,0.000571400503497116
90,8,0.000533527927619407
7,9,0.00237445496221672
8,9,0.00982372832458115
46,9,0.00046842430736614
50,9,0.000394551348601024
126,9,0.00107300948678689
135,9,0.0978716993276173
140,9,0.000406299170474602
57,9,0.00293235813511144
58,9,0.00126632842989522
59,9,0.00189797447371834
62,9,0.00202788116723543
63,9,0.000627727940743577
65,9,0.00153969794737448
66,9,0.00228736781418493
68,9,0.00127021684135539
69,9,0.00123549344584601
70,9,0.00132584713478223
90,9,0.000302332492317664
11,10,0.534703569149901
12,10,0.0309541141577797
13,10,0.0409527115253269
14,10,0.0102834872166015
18,10,0.000884971870002127
45,10,0.000845982692413491
124,10,0.000697530210746543
127,10,0.000774367321265083
132,10,0.000181508954171118
133,10,0.000270293554352817
135,10,0.000257587569202683
136,10,0.000258981295333569
137,10,0.00204838269310466
138,10,0.000271981691001858
139,10,0.000417442492702474
140,10,0.00674685523928951
141,10,0.000963104217911536
144,10,0.000386039991477443
145,10,0.000289249769783865
59,10,0.000345086267948789
62,10,0.000865229298020449
68,10,0.000482540476045624
72,10,0.000801712002972206
73,10,0.00458713797638751
74,10,0.0012866426325858
75,10,0.00107288531524014
76,10,0.000636619178951852
80,10,0.000186832660043136
87,10,0.000746808700586994
89,10,0.0011991362679024
90,10,0.00311669231051004
91,10,0.00418184288951488
3,11,0.00160455759938852
4,11,0.00167301701139876
10,11,0.70819138039338
12,11,0.0195663874949824
13,11,0.0457634216141454
14,11,0.124899768632406
18,11,0.000821759593573404
45,11,0.00076604731990198
46,11,0.000477609097706652
124,11,0.00178988884267037
125,11,0.000302617601672111
126,11,0.00039793729311302
127,11,0.00085356397912174
130,11,0.000182580815837403
131,11,0.000299350015821631
132,11,0.000255646414325519
133,11,0.000308906919260363
135,11,0.000471761503146488
136,11,0.000418354400154227
137,11,0.00221058494255865
138,11,0.000376888914674004
139,11,0.000393990667269751
140,11,0.0520005712972212
141,11,0.00122731864937399
144,11,0.000273444993963189
145,11,0.000298580407518828
146,11,0.00028118734198415
147,11,0.000365009300661026
57,11,0.000874779107533244
59,11,0.000600705725688633
68,11,0.00051802139340192
72,11,0.00201859629319787
73,11,0.0297709796388318
74,11,0.00427540624786324
75,11,0.00230851166144367
80,11,0.000196174293045293
87,11,0.00240419993960901
88,11,0.00201559144335433
89,11,0.00296162514488646
90,11,0.0107239113451501
91,11,0.0141819019731374
10,12,0.0190369605853539
11,12,0.00908557310949088
13,12,0.174645223096211
14,12,0.00136327735604701
125,12,0.000281002058695532
127,12,0.000316786631426625
133,12,0.000279204330869943
137,12,0.0366391709766639
140,12,0.000783985723310147
141,12,0.000626443893951309
145,12,0.000242596581109048
72,12,0.000801712002972206
73,12,0.00457578367446575
74,12,0.000964981974439353
75,12,0.000958363849006642
89,12,0.000635783658820735
90,12,0.00105816372311182
91,12,0.000949500559455069
124,12,0.000776495894982001
10,13,0.0273013862390388
11,13,0.023034721801511
12,13,0.189312598826738
14,13,0.00264240178888125
18,13,0.000748011937739893
126,13,0.000419255362386931
127,13,0.000959159522930615
132,13,0.000191734810744139
133,13,0.000166334494986349
135,13,0.000191019995139069
136,13,0.000343648257269544
137,13,0.0276207259070221
138,13,0.000264210785544662
140,13,0.00291276447565595
141,13,0.00453852208883091
144,13,0.000261381244229519
145,13,0.000247261899976529
72,13,0.00329274572649299
73,13,0.0522297888400558
74,13,0.00667445865653886
75,13,0.00350797333409978
81,13,0.00150712677973096
87,13,0.000818869189240125
88,13,0.00223394718305105
89,13,0.00110256153491697
90,13,0.00247645879736675
91,13,0.00330304981852987
124,13,0.000671208316001391
2,14,0.00392134360299264
3,14,0.00305383543109428
4,14,0.00408360066223138
5,14,0.0080021991120834
10,14,0.00837406977512686
11,14,0.0767927540381911
12,14,0.00180509952971934
13,14,0.0032276986493355
18,14,0.000579445867263298
54,14,0.000653056479754936
45,14,0.00215159377676817
53,14,0.000987063737241513
124,14,0.00261902852714268
125,14,0.000308021487416256
126,14,0.000532951731847794
127,14,0.000589575119599552
130,14,0.000132786047881747
132,14,0.000135492599592525
133,14,0.00119701431213391
135,14,0.000471761503146488
137,14,0.000783205147363547
140,14,0.119778139960618
141,14,0.000686105217184767
144,14,0.000317678742986646
146,14,0.000251588674406871
57,14,0.000739249950028093
59,14,0.00078602983255002
72,14,0.00282030829617008
73,14,0.00875416678167021
74,14,0.00222481955217962
75,14,0.00242303312767717
92,14,0.00124859286055084
76,14,0.00217608010259906
77,14,0.00100318313346086
79,14,0.00107369639092871
80,14,0.00020551592604745
87,14,0.00494596990301036
88,14,0.00366165778876036
89,14,0.00409637825746524
90,14,0.0338123324128799
91,14,0.0119495655514399
98,14,0.00088940122519515
16,15,0.00745328528076257
18,15,0.045502303649276
20,15,0.00168443519312145
21,15,0.00405489946572127
30,15,0.000914774844342302
40,15,0.000998917868495973
46,15,0.00172674058401636
48,15,0.000774866948936719
125,15,0.000329637030392835
126,15,0.000433467408569539
127,15,0.169929628874432
130,15,0.000142270765587586
132,15,0.000227525308749712
133,15,0.000240590965962398
134,15,0.000143036493280026
135,15,0.000292318477409787
136,15,0.0283435106104489
137,15,0.00139030499531991
139,15,0.00128516003371323
140,15,0.000492137023391771
141,15,0.0289059111066104
142,15,0.000422986442583202
144,15,0.0266608869114109
146,15,0.000248628807649143
147,15,0.00301741021879782
149,15,0.00070664501457154
59,15,0.000568753293471153
73,15,0.00194158562861946
74,15,0.00302897119754575
75,15,0.00353811056205597
80,15,0.00262499887360606
81,15,0.00346358328261152
82,15,0.00076016918050475
83,15,0.00112250519376212
84,15,0.00277601606312627
85,15,0.00313382649600485
86,15,0.00143719992264071
87,15,0.000373404350293497
90,15,0.000880321080572022
91,15,0.000727277024263457
98,15,0.000762343907310129
108,15,0.00105734332440193
119,15,0.00107647770799586
124,15,0.00318494926416346
15,16,0.0102748732844006
17,16,0.0762480155848163
18,16,0.0142332975758675
20,16,0.00109684152110234
29,16,0.00469727491796438
30,16,0.00266116318354124
40,16,0.00297046629315908
48,16,0.00114592999490642
51,16,0.00154510985260046
52,16,0.000881536093117324
56,16,0.000350562255760114
124,16,0.00398776705389061
125,16,0.00118345097796772
127,16,0.00480019742897844
130,16,0.000267943275189954
131,16,0.000410220392051865
132,16,0.000347679123482705
133,16,0.000683159532979648
134,16,0.000183265507015033
135,16,0.000251799084501499
136,16,0.432204919045048
137,16,0.00227083149235585
138,16,0.000427399800145777
139,16,0.0126780568289302
141,16,0.00934978165530048
142,16,0.000728759774571059
144,16,0.00256957869327173
145,16,0.00027525381318142
146,16,0.000251588674406871
147,16,0.0119297206432712
149,16,0.000671015854172975
59,16,0.000428162591714239
63,16,0.00181075367522186
73,16,0.000601778001852816
74,16,0.000938176919593815
75,16,0.00178412389500608
80,16,0.00318549685373547
81,16,0.0107090250683989
82,16,0.00088135557159971
83,16,0.00112250519376212
84,16,0.00440896668849467
85,16,0.00163503991095905
86,16,0.00151779057250841
87,16,0.000818869189240125
89,16,0.000643831553236187
90,16,0.000800291891429111
94,16,0.000480639657038919
98,16,0.00128327891063872
104,16,0.00110291240038309
108,16,0.000953907564406085
110,16,0.0012596097323433
113,16,0.000739396813931888
121,16,0.000695379978939819
16,17,0.00871723406323375
18,17,0.00136959932262234
29,17,0.0250462905140713
124,17,0.00169776221106234
125,17,0.00186434058172997
127,17,0.000268388673847557
136,17,0.014542795814885
137,17,0.0184678846878328
139,17,0.00757024924968307
141,17,0.00135942586510522
147,17,0.000401510230727129
80,17,0.000168149394038823
7,18,0.00120418787369562
10,18,0.00115126327514019
11,18,0.000807146586036775
13,18,0.00145965989874408
14,18,0.000925682155340564
15,18,0.0597270224970743
16,18,0.0135523397231632
17,18,0.0114064925500876
21,18,0.00185445914131963
29,18,0.00290950610590331
30,18,0.00791696047103519
40,18,0.0011434980863046
46,18,0.00125831627665022
48,18,0.000665730758945632
49,18,0.000365491417687983
50,18,0.000373414669211683
51,18,0.00136213631742409
124,18,0.00267167231663299
125,18,0.00103754606287581
126,18,0.000696390262947784
127,18,0.0646156731823808
130,18,0.000284541531175173
131,18,0.000421307429674889
132,18,0.000288880448187836
133,18,0.000582170732452222
134,18,0.000272663315315049
135,18,0.000338626355019258
136,18,0.0299173200205529
137,18,0.00917137861912698
138,18,0.000540077929275119
139,18,0.0017964098281466
140,18,0.000721037964504223
141,18,0.372516779223535
142,18,0.000402601553784012
144,18,0.00372769866770406
145,18,0.000349898915061127
146,18,0.000298946542530517
147,18,0.00305999463720827
149,18,0.000807594302367474
57,18,0.000874779107533244
58,18,0.00115459356843388
59,18,0.00067100107656709
62,18,0.000946344544709865
64,18,0.00103204978735748
65,18,0.000971654044459623
68,18,0.000390290090919255
72,18,0.00103077257524998
73,18,0.00210054585552398
74,18,0.00328361921857835
75,18,0.0040685257740848
76,18,0.00129638814622923
80,18,0.00180916292475104
81,18,0.00198453961057741
82,18,0.000903389460889702
83,18,0.00146789140722739
84,18,0.00282500458188733
85,18,0.00122627993321929
86,18,0.000940224248456537
87,18,0.000622340583822495
89,18,0.000659927342067092
90,18,0.000960350269714933
91,18,0.000747479163826331
98,18,0.000775049639098631
108,18,0.00596479549309347
110,18,0.000887452311423686
121,18,0.000588398443718308
20,19,0.0138084512924491
23,19,0.00179910844980405
24,19,0.000955516012796107
25,19,0.0020113100669698
28,19,0.000828584208537014
48,19,0.0267492801668155
50,19,0.000859558295166516
124,19,0.00273747705349587
127,19,0.000246389602220708
128,19,0.000346070597843144
131,19,0.0300791330712624
132,19,0.000306775697190622
133,19,0.000323758213455572
136,19,0.000298824571538734
142,19,0.000708374885771869
143,19,0.000491288506137982
144,19,0.000478528739435581
146,19,0.000275267608468694
147,19,0.00100985906516217
149,19,0.0362882998659385
80,19,0.0016659245520513
82,19,0.00158644002887948
83,19,0.00133837157717792
84,19,0.0012247129690263
15,20,0.0011892854676426
16,20,0.000561755014431634
19,20,0.0129317253583113
21,20,0.00481605806850172
46,20,0.00221353447206352
47,20,0.00228277813635937
48,20,0.210523710492807
50,20,0.000408642468193917
127,20,0.000664371963130839
131,20,0.000825984302915242
132,20,0.000260759342612029
133,20,0.000178215530342517
135,20,0.000309683931513338
136,20,0.000791885114577644
137,20,0.000240986199188784
139,20,0.00067541257246243
140,20,0.000446356835169281
141,20,0.000323875754695915
142,20,0.00051471844217956
143,20,0.000547975641461595
144,20,0.0218474507676766
146,20,0.00022494987358732
147,20,0.00161820789959722
149,20,0.00458428530461537
68,20,0.000418674824804291
71,20,0.000558446246042201
75,20,0.000656991569444805
80,20,0.00563923245563533
81,20,0.00146032160023621
82,20,0.0126805032863908
83,20,0.00890448831590145
84,20,0.00357616186955679
85,20,0.013798745915215
86,20,0.0568432717066866
115,20,0.00438657277095376
124,20,0.000934427263452916
6,21,0.00197061308668252
7,21,0.00410441500611748
15,21,0.00405186793045677
18,21,0.00141174084024149
20,21,0.00681608659542167
46,21,0.0719260931565538
47,21,0.00647647914704672
48,21,0.0101933201451675
126,21,0.000383725246930412
