n_region,n_region_to,transfer
129,41,0.12278627014019
134,41,0.00167147080176
146,41,0.00636377862888578
148,41,0.145138020634995
59,41,0.00373915265897047
98,41,0.0121111193004572
99,41,0.00628136484641848
110,41,0.00804014436988878
119,41,0.00827614161936333
121,41,0.00589542576021329
43,42,0.0456450215389491
44,42,0.0242150344648825
132,42,0.139606127497107
146,42,0.00319291020766461
148,42,0.0214158051450017
54,43,0.021974975770994
42,43,0.0537623567091328
44,43,0.0185595494418343
50,43,0.0136265518534017
55,43,0.0105051484649976
132,43,0.182231523668348
146,43,0.00208767205885763
148,43,0.00346624255701939
54,44,0.00658583076376262
42,44,0.0160495153252796
43,44,0.0104438199855075
132,44,0.00381569774952157
1,45,0.198660993848969
2,45,0.06327055289213
3,45,0.029101488204187
4,45,0.128013329552156
5,45,0.463680611522157
53,45,0.0461451183973837
140,45,0.0198220502281071
92,45,0.272844839051867
76,45,0.135366077877475
77,45,0.0511364538425315
78,45,0.0906715829233853
79,45,0.341557520731818
45,53,0.0280272723749661
126,53,0.00873898588000941
92,53,0.154962548125796
76,53,0.314791086587807
77,53,0.303201004353914
78,53,0.0419984172349841
79,53,0.036769310297748
6,46,0.0350567734614322
7,46,0.073579987779176
21,46,0.115293887711709
47,46,0.187215215966735
48,46,0.0230581585727201
127,46,0.0141076340797713
135,46,0.00393497825810139
144,46,0.0577055265383165
57,46,0.00792997863518152
58,46,0.011054732359225
59,46,0.0925066367829296
60,46,0.0117020822634676
62,46,0.0287933306957066
63,46,0.19736132732867
64,46,0.0289622350217966
65,46,0.100124328073814
66,46,0.0111273551195593
68,46,0.00832677706242609
69,46,0.0108487531926381
71,46,0.00729225962129855
6,47,0.18468863294507
7,47,0.114682295812762
21,47,0.00923116684909228
46,47,0.166471142350733
48,47,0.0186113938530062
135,47,0.00334688682829124
144,47,0.00445764390636266
59,47,0.0248347721149439
62,47,0.0140371082712336
63,47,0.0153209307328933
65,47,0.0374671087900104
66,47,0.00916236017031477
67,47,0.0241136336924766
68,47,0.0416791805636033
69,47,0.0204874531445588
70,47,0.0129272102757588
71,47,0.190157901051242
19,48,0.0478285545416295
20,48,0.401943187419523
21,48,0.0137510523716941
46,48,0.0194055108709606
47,48,0.0176149551678509
144,48,0.0206240895130272
149,48,0.0237087955445987
80,48,0.00615494031022121
82,48,0.02110821306509
83,48,0.0098633574609277
85,48,0.00963270794455809
86,48,0.049026480197434
26,49,0.189384208367164
34,49,0.0186528082998266
37,49,0.180097488515951
38,49,0.0877653891080854
39,49,0.0124676007967542
56,49,0.0382818451923057
124,49,0.0735200442750574
128,49,0.035469569956945
132,49,0.00207782828270455
133,49,0.00605433420615583
142,49,0.00428846063581702
146,49,0.00530892170623524
96,49,0.00580987523407095
100,49,0.016507436798448
108,49,0.0682242842966039
109,49,0.0144166707915191
22,50,0.224720253171866
23,50,0.0343540450559837
24,50,0.0114095247195407
25,50,0.0619991817244376
54,50,0.0136284821585377
28,50,0.300771685899677
35,50,0.067545460172461
43,50,0.0271628966146676
124,50,0.0225558543757603
55,50,0.0466066482561684
131,50,0.0333794015402676
132,50,0.041586482029889
142,50,0.0100841172978757
143,50,0.0430250377603879
146,50,0.00235532232281374
30,51,0.0519144458350679
40,51,0.0844278806118613
52,51,0.160584580131604
124,51,0.0187615424354555
125,51,0.0306242487663195
133,51,0.00897090543386033
139,51,0.0320944009094119
30,52,0.374778417598014
40,52,0.170044295482088
51,52,0.270353733697323
56,52,0.0282331198170929
124,52,0.0510481968057245
125,52,0.0271174359734803
130,52,0.00160939143607532
133,52,0.0750124424425539
139,52,0.012379696619442
94,52,0.0072721637659488
98,52,0.0163013503084279
110,52,0.00922789296998599
121,52,0.00598647480670307
30,56,0.0189326711123117
34,56,0.0362101825070043
35,56,0.0151637531484946
36,56,0.0311044927299213
37,56,0.0927262104266559
38,56,0.153502015212946
39,56,0.0394445349249227
40,56,0.112840840764777
49,56,0.0365297449165318
52,56,0.0525175810862399
124,56,0.206306961034655
132,56,0.00271967052710019
133,56,0.0296902527145304
139,56,0.0164863029547104
142,56,0.0902908007950652
146,56,0.00618744433733823
96,56,0.00838051447454282
98,56,0.01553088847793
